Scenario,Model,Runs,test_accuracy,test_macro_f1,test_mcc,test_auc_ovr_macro,Parameters (M)
A+B->C,ChilliLite-GFNet,1,0.3301,0.2360,0.1368,--,1.154598
A+B->C,DenseNet121,1,0.5763,0.4214,0.2655,--,6.957956
A+B->C,EfficientNet-B0,1,0.5474,0.3891,0.2094,--,4.012672
A+B->C,MobileNetV2,1,0.4840,0.3421,0.2463,--,2.228996
A+B->C,MobileNetV3-Small,1,0.4387,0.3230,0.1581,--,1.521956
A+B->C,ResNet50,1,0.5908,0.4758,0.3065,--,23.516228
A+B->C,ShuffleNetV2,1,0.5552,0.4999,0.3019,--,1.257704
A+B->C,Swin-Tiny,1,0.5788,0.5091,0.3859,--,27.52243
A+C->B,ChilliLite-GFNet,1,0.2340,0.1730,0.1006,--,1.15476
A+C->B,DenseNet121,1,0.3567,0.3523,0.2662,--,6.960006
A+C->B,EfficientNet-B0,1,0.5333,0.5112,0.4660,--,4.015234
A+C->B,MobileNetV2,1,0.4699,0.3835,0.3922,--,2.231558
A+C->B,MobileNetV3-Small,1,0.3776,0.3491,0.2952,--,1.524006
A+C->B,ResNet50,1,0.6559,0.6248,0.6115,--,23.520326
A+C->B,ShuffleNetV2,1,0.5365,0.4568,0.4769,--,1.259754
A+C->B,Swin-Tiny,1,0.5834,0.4671,0.5252,--,27.523968
B+C->A,ChilliLite-GFNet,1,0.6017,0.5238,0.5145,--,1.154679
B+C->A,DenseNet121,1,0.6557,0.6149,0.6024,--,6.958981
B+C->A,EfficientNet-B0,1,0.6230,0.5346,0.5471,--,4.013953
B+C->A,MobileNetV2,1,0.6758,0.6078,0.6168,--,2.230277
B+C->A,MobileNetV3-Small,1,0.5756,0.4462,0.4870,--,1.522981
B+C->A,ResNet50,1,0.6460,0.5658,0.5966,--,23.518277
B+C->A,ShuffleNetV2,1,0.6351,0.5866,0.5807,--,1.258729
B+C->A,Swin-Tiny,1,0.6557,0.5929,0.5921,--,27.523199
