model_name,model_display,within_macro_f1,cross_macro_f1,generalization_gap
efficientnet_b4,EfficientNet-B4,0.9201863102131203,0.5425076032031897,0.37767870700993056
mobilenet_v2,MobileNetV2,0.9219445786959938,0.4696215301883393,0.4523230485076545
swin_t,Swin-Tiny,0.9335257174865406,0.46927286608817265,0.4642528513983679
shufflenet_v2_x1_0,ShuffleNetV2,0.9195533818125106,0.45331040407322176,0.4662429777392888
densenet121,DenseNet121,0.9299535439257807,0.4558223064645008,0.4741312374612799
mobilenet_v3_small,MobileNetV3-Small,0.9216891874719038,0.43137618115084503,0.49031300632105873
efficientnet_b0,EfficientNet-B0,0.9389965582292937,0.4342743274898974,0.5047222307393964
chilli_lite_gfnet,ChilliLite-GFNet,0.9263420279719364,0.41667638679048663,0.5096656411814497
resnet50,ResNet50,0.9323485513249227,0.4086379640482262,0.5237105872766965
