experiment,scenario,model,n,mean,std,median,ci95_low,ci95_high
multisource,A+B->C,ChilliLite-GFNet,1,0.3576634232520597,,0.3576634232520597,,
multisource,A+B->C,DenseNet121,1,0.4214406468428893,,0.4214406468428893,,
multisource,A+B->C,EfficientNet-B0,1,0.3891257290348687,,0.3891257290348687,,
multisource,A+B->C,MobileNetV2,1,0.3421437774027012,,0.3421437774027012,,
multisource,A+B->C,MobileNetV3-Small,1,0.32301444695776,,0.32301444695776,,
multisource,A+B->C,ResNet50,1,0.4758343597206299,,0.4758343597206299,,
multisource,A+B->C,ShuffleNetV2,1,0.4999188573992198,,0.4999188573992198,,
multisource,A+B->C,Swin-Tiny,1,0.5091437594781755,,0.5091437594781755,,
multisource,A+C->B,ChilliLite-GFNet,1,0.3066414033265831,,0.3066414033265831,,
multisource,A+C->B,DenseNet121,1,0.3523425617898661,,0.3523425617898661,,
multisource,A+C->B,EfficientNet-B0,1,0.5111597342946286,,0.5111597342946286,,
multisource,A+C->B,MobileNetV2,1,0.3835258284241298,,0.3835258284241298,,
multisource,A+C->B,MobileNetV3-Small,1,0.3491073056204919,,0.3491073056204919,,
multisource,A+C->B,ResNet50,1,0.6247777640777215,,0.6247777640777215,,
multisource,A+C->B,ShuffleNetV2,1,0.4568246233286059,,0.4568246233286059,,
multisource,A+C->B,Swin-Tiny,1,0.4670694621564082,,0.4670694621564082,,
multisource,B+C->A,ChilliLite-GFNet,1,0.5036040743039315,,0.5036040743039315,,
multisource,B+C->A,DenseNet121,1,0.6149308621545236,,0.6149308621545236,,
multisource,B+C->A,EfficientNet-B0,1,0.5346350490378864,,0.5346350490378864,,
multisource,B+C->A,MobileNetV2,1,0.6077867142123872,,0.6077867142123872,,
multisource,B+C->A,MobileNetV3-Small,1,0.4462230226639113,,0.4462230226639113,,
multisource,B+C->A,ResNet50,1,0.5658315047875704,,0.5658315047875704,,
multisource,B+C->A,ShuffleNetV2,1,0.5865714588357124,,0.5865714588357124,,
multisource,B+C->A,Swin-Tiny,1,0.5928914518862517,,0.5928914518862517,,
pairwise,A->B,ChilliLite-GFNet,1,0.3828884415970549,,0.3828884415970549,,
pairwise,A->B,DenseNet121,1,0.3838983617157567,,0.3838983617157567,,
pairwise,A->B,EfficientNet-B0,1,0.2641244602417887,,0.2641244602417887,,
pairwise,A->B,EfficientNet-B4,1,0.351596048701232,,0.351596048701232,,
pairwise,A->B,MobileNetV2,2,0.3725218416455077,0.038226375862394614,0.3725218416455077,0.02907148099805923,0.7159722022929562
pairwise,A->B,MobileNetV3-Small,2,0.36588668617607906,0.034659737234409245,0.36588668617607906,0.05448130220887504,0.6772920701432831
pairwise,A->B,ResNet50,1,0.4022137093122123,,0.4022137093122123,,
pairwise,A->B,ShuffleNetV2,2,0.4078915893742575,0.0204819496224664,0.4078915893742575,0.2238685731740947,0.5919146055744203
pairwise,A->B,Swin-Tiny,1,0.5167428501224353,,0.5167428501224353,,
pairwise,A->C,ChilliLite-GFNet,1,0.3949753811980689,,0.3949753811980689,,
pairwise,A->C,DenseNet121,1,0.4079077657544372,,0.4079077657544372,,
pairwise,A->C,EfficientNet-B0,1,0.3744659507595156,,0.3744659507595156,,
pairwise,A->C,EfficientNet-B4,1,0.3982658927773243,,0.3982658927773243,,
pairwise,A->C,MobileNetV2,2,0.3784297954121808,0.036315113731336085,0.3784297954121808,0.05215144370868302,0.7047081471156786
pairwise,A->C,MobileNetV3-Small,2,0.44982669005620596,0.04962659713917967,0.44982669005620596,0.003949405049852972,0.8957039750625589
pairwise,A->C,ResNet50,1,0.3697641064276249,,0.3697641064276249,,
pairwise,A->C,ShuffleNetV2,2,0.37019199201055253,0.002155133678266167,0.37019199201055253,0.350828884147321,0.38955509987378406
pairwise,A->C,Swin-Tiny,1,0.5070776495822763,,0.5070776495822763,,
pairwise,B->A,ChilliLite-GFNet,1,0.3399747310547193,,0.3399747310547193,,
pairwise,B->A,DenseNet121,1,0.3784669643510022,,0.3784669643510022,,
pairwise,B->A,EfficientNet-B0,1,0.5810047934943409,,0.5810047934943409,,
pairwise,B->A,EfficientNet-B4,1,0.6954266824041916,,0.6954266824041916,,
pairwise,B->A,MobileNetV2,2,0.5808109341296233,0.06617968544057748,0.5808109341296233,-0.013789948620060333,1.1754118168793068
pairwise,B->A,MobileNetV3-Small,2,0.5071134918700249,0.0643512264665242,0.5071134918700249,-0.07105933878473214,1.085286322524782
pairwise,B->A,ResNet50,1,0.4542779299055375,,0.4542779299055375,,
pairwise,B->A,ShuffleNetV2,2,0.4361009536954185,0.07005920500182987,0.4361009536954185,-0.19335602938790247,1.0655579367787396
pairwise,B->A,Swin-Tiny,1,0.3740948038906754,,0.3740948038906754,,
pairwise,B->C,ChilliLite-GFNet,1,0.4051176239187532,,0.4051176239187532,,
pairwise,B->C,DenseNet121,1,0.3686861519889903,,0.3686861519889903,,
pairwise,B->C,EfficientNet-B0,1,0.3089384046153135,,0.3089384046153135,,
pairwise,B->C,EfficientNet-B4,1,0.3943631251010418,,0.3943631251010418,,
pairwise,B->C,MobileNetV2,2,0.3730263952580679,0.10095114278656907,0.3730263952580679,-0.5339836368367528,1.2800364273528886
pairwise,B->C,MobileNetV3-Small,2,0.2959912248354954,0.06472015348801191,0.2959912248354954,-0.2854962835966857,0.8774787332676766
pairwise,B->C,ResNet50,1,0.2900580999307968,,0.2900580999307968,,
pairwise,B->C,ShuffleNetV2,1,0.3356791966653467,,0.3356791966653467,,
pairwise,B->C,Swin-Tiny,1,0.3038519350865615,,0.3038519350865615,,
pairwise,C->A,ChilliLite-GFNet,1,0.7173270831908344,,0.7173270831908344,,
pairwise,C->A,DenseNet121,1,0.645338112583266,,0.645338112583266,,
pairwise,C->A,EfficientNet-B0,1,0.7073551569942645,,0.7073551569942645,,
pairwise,C->A,EfficientNet-B4,1,0.7841418765336298,,0.7841418765336298,,
pairwise,C->A,MobileNetV2,2,0.617855236816425,0.03983302884815634,0.617855236816425,0.2599696718121332,0.9757408018207168
pairwise,C->A,MobileNetV3-Small,2,0.6187359445171969,0.02874678526784878,0.6187359445171969,0.3604563261919314,0.8770155628424625
pairwise,C->A,ResNet50,1,0.5549917401133045,,0.5549917401133045,,
pairwise,C->A,ShuffleNetV2,2,0.6344484912998298,0.05385564136669901,0.6344484912998298,0.15057475142775678,1.118322231171903
pairwise,C->A,Swin-Tiny,1,0.7289545630200015,,0.7289545630200015,,
pairwise,C->B,ChilliLite-GFNet,1,0.2597750597834893,,0.2597750597834893,,
pairwise,C->B,DenseNet121,1,0.5506364823935521,,0.5506364823935521,,
pairwise,C->B,EfficientNet-B0,1,0.3697571988341609,,0.3697571988341609,,
pairwise,C->B,EfficientNet-B4,1,0.6312519937017186,,0.6312519937017186,,
pairwise,C->B,MobileNetV2,2,0.495084977868231,0.015833144684118387,0.495084977868231,0.3528298168893622,0.6373401388470998
pairwise,C->B,MobileNetV3-Small,2,0.35070304945006825,0.0015864161944825412,0.35070304945006825,0.3364496654491019,0.3649564334510346
pairwise,C->B,ResNet50,1,0.3805221985998811,,0.3805221985998811,,
pairwise,C->B,ShuffleNetV2,1,0.5001587913067536,,0.5001587913067536,,
pairwise,C->B,Swin-Tiny,1,0.384915394827086,,0.384915394827086,,
pooled_cv,A+B+C_pooled,ChilliLite-GFNet,5,0.9619117362981189,0.003405464277821979,0.9607485772576676,0.9576832939071783,0.9661401786890594
pooled_cv,A+B+C_pooled,DenseNet121,5,0.9599366798029287,0.005951678519030829,0.9627507067488876,0.9525466948569654,0.9673266647488921
pooled_cv,A+B+C_pooled,EfficientNet-B0,5,0.9688093273304077,0.002721114520304109,0.9688048701922986,0.9654306173955566,0.9721880372652588
pooled_cv,A+B+C_pooled,MobileNetV2,5,0.9630339898868648,0.0016800255576536224,0.9626077947733718,0.9609479626358641,0.9651200171378655
pooled_cv,A+B+C_pooled,MobileNetV3-Small,5,0.9659957417818683,0.0009349924505054339,0.9664728328334414,0.9648347953174834,0.9671566882462532
pooled_cv,A+B+C_pooled,ResNet50,5,0.9600341708950646,0.0064245881516509055,0.9588808076475188,0.9520569910838732,0.968011350706256
pooled_cv,A+B+C_pooled,ShuffleNetV2,5,0.9599027910551978,0.005561027982391675,0.9591324298520476,0.9529978628164584,0.9668077192939373
pooled_cv,A+B+C_pooled,Swin-Tiny,5,0.9632533667449279,0.010607760390396502,0.963576813230644,0.9500820925666007,0.9764246409232551
within_cv,A_within,ChilliLite-GFNet,5,0.993742560218907,0.00670712757905287,0.9949360925136944,0.9854145613726374,1.0020705590651764
within_cv,A_within,DenseNet121,5,0.9826079260268908,0.020004250115276522,0.9907952900301852,0.9577693688476885,1.0074464832060932
within_cv,A_within,EfficientNet-B0,5,0.9903127518218537,0.00889854995164078,0.9853658638219852,0.9792637427106835,1.0013617609330239
within_cv,A_within,EfficientNet-B4,5,0.9888043366374548,0.007884564609054928,0.9885234789976212,0.9790143566208798,0.9985943166540299
within_cv,A_within,MobileNetV2,5,0.9849747329928087,0.014475586890032066,0.9905282724231148,0.9670009178985854,1.002948548087032
within_cv,A_within,MobileNetV3-Small,5,0.9790753554395211,0.018417332860578898,0.9821438055194236,0.956207216283605,1.001943494595437
within_cv,A_within,ResNet50,5,0.9803696669222035,0.02121878075075254,0.9887174901259408,0.954023070778215,1.0067162630661919
within_cv,A_within,ShuffleNetV2,5,0.9899740888022086,0.005060537501229219,0.9922842575882348,0.9836906015753722,0.996257576029045
within_cv,A_within,Swin-Tiny,5,0.9823045313205888,0.016330052166268677,0.9744085103284316,0.9620280934569436,1.002580969184234
within_cv,B_within,ChilliLite-GFNet,5,0.9829188303118533,0.002499752304399683,0.9817702975736364,0.9798149778710533,0.9860226827526534
within_cv,B_within,DenseNet121,5,0.9809991256751941,0.0021302790346395028,0.9806054636762996,0.978354034891754,0.9836442164586342
within_cv,B_within,EfficientNet-B0,5,0.9861893134312366,0.002056843873546203,0.9866523044022784,0.9836354044435284,0.9887432224189449
within_cv,B_within,EfficientNet-B4,5,0.9845839689897034,0.002632733640223306,0.9842270853020028,0.9813149984117782,0.9878529395676285
within_cv,B_within,MobileNetV2,5,0.9823815136239371,0.005566251452317613,0.984457924802262,0.9754700995906449,0.9892929276572293
within_cv,B_within,MobileNetV3-Small,5,0.9844918087540824,0.004593022794178901,0.9861766473694252,0.9787888177076212,0.9901947998005436
within_cv,B_within,ResNet50,5,0.9834192963394814,0.0026087177609373977,0.9828011312005656,0.9801801454142507,0.9866584472647122
within_cv,B_within,ShuffleNetV2,5,0.9831542681117739,0.0020726477228611103,0.9824795783969936,0.9805807360533382,0.9857278001702096
within_cv,B_within,Swin-Tiny,5,0.9820283791494273,0.0038749277213749123,0.9816336901914262,0.9772170209021543,0.9868397373967003
within_cv,C_within,ChilliLite-GFNet,5,0.802364693385049,0.023757034134812102,0.7996472663139329,0.772866439395755,0.8318629473743431
within_cv,C_within,DenseNet121,5,0.826253580075257,0.025976061108390014,0.8260884883309836,0.7940000401818281,0.8585071199686858
within_cv,C_within,EfficientNet-B0,5,0.8404876094347908,0.018260477496038905,0.8393117967180639,0.8178142319379493,0.8631609869316323
within_cv,C_within,EfficientNet-B4,5,0.7871706250122024,0.032844991107329476,0.7839623376151562,0.7463881820329086,0.8279530679914961
within_cv,C_within,MobileNetV2,5,0.7984774894712352,0.03664576555105074,0.8026144384209905,0.7529757616998798,0.8439792172425906
within_cv,C_within,MobileNetV3-Small,5,0.8015003982221078,0.02364416461587342,0.7937146814186827,0.7721422902509745,0.8308585061932412
within_cv,C_within,ResNet50,5,0.8332566907130831,0.021114286374050363,0.8350851217954376,0.8070398414746605,0.8594735399515057
within_cv,C_within,ShuffleNetV2,5,0.7855317885235492,0.02284490859151938,0.7764674130983353,0.7571660879832037,0.8138974890638947
within_cv,C_within,Swin-Tiny,5,0.8362442419896056,0.024844296446217166,0.8307933166835009,0.805395973531636,0.8670925104475752
